hca_db_vid,hca_db_title,sv_volume,sv_xml_id,sv_xml_id_source,sv_incipit,sv_source_file,match_method,status
2163,"Augusta Petzholdt og Gottlieb Collin (Sølvbryllupssange V) (Så hurtigt flyver tiden,)",SV8,saa-hurtigt-flyver-tiden,derived,"Saa hurtigt flyver Tiden,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2165,"Adam Holst (Du, dine forældres glæde,)",SV8,du-dine-foraeldres-glaede,derived,"Du, dine Forældres Glæde,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2166,Augusta Jøhnke og Carl Reitzel(Bryllupssange  VI) (Ved festligt bord nu tømmes skal pokalen),SV8,ved-festligt-bord-nu-toemmes-skal-pokalen,derived,"Ved festligt Bord nu tømmes skal Pokalen,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2167,Sang ved Frøken Louise Ipsen's og Hr. C. St. A. Bille's Bryllup den 8. Juni 1859. Sally B. Salomons Tryk. (I Hedelandet Blomsten stod).,SV8,i-hedelandet-blomsten-stod,derived,"I Hedelandet Blomsten stod,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2168,Sang ved Kong Frederik den Syvendes ankomst i Det kongelige Teater (Det danske land er guldets land),SV8,det-danske-land-er-guldets-land,derived,"Det danske Land er Guldets Land,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2169,Ved årsskifter  I (Et nyfødt år på verdensstrømmen glider),SV8,et-nyfoedt-aar-paa-verdensstroemmen-glider,derived,Et nyfødt Aar paa Verdensstrømmen glider,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2173,"Digt fremsagt af Skuespiller W. Holst ved Kunstnerkarnevalet i Casino den 20. Marts 1860. (Hvor før, som en Bouquet paa Vandet laa).",SV8,hvor-foer-som-en-bouquet-paa-vandet-laa,derived,"Hvor før, som en Bouquet paa Vandet laa",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2174,Sang til Kong Frederik den Syvende ved hans ankomst i Det kongelige Akademi for de Skønne Kunster (I kunstens hal vi træder ind),SV8,i-kunstens-hal-vi-traede-ind,derived,I Kunstens Hal vi træde ind,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2177,"En forårsfest i Rom (""Nu skriv en vise!"" blev der sagt)",SV8,nu-skriv-en-vise-blev-der-sagt,derived,"»Nu skriv en Vise!« blev der sagt,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2180,Johanne Louise Heibergs statue (Omkring dit billed her i marmorstenen),SV8,omkring-dit-billed-her-i-marmorstenen,derived,Omkring dit Billed her i Marmorstenen,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
